track_artist,Songs Similar to Torn - KREAM Remix,track_album_release_date,track_popularity
Los Rabanes,Perfidia,2000-04-06,45
FineRefined,Dinner Time,2019-12-03,25
Capital Cities,Safe And Sound,2013,77
Steve Aoki,Can't Go Home (feat. Adam Lambert) - Radio Edit,2016-03-25,45
Orchestral Manoeuvres In The Dark,If You Leave - Remastered 2019,2019-10-04,49
The fire ants,Bittersweet,2018-12-28,0
Apollo LTD,Man That I Used To Know,2018-03-09,0
Madcon,Don't Worry (feat. Ray Dalton) - Matoma Remix,2015-06-11,40
Nevada,The Mack,2016-09-23,11
Kris Kross Amsterdam,Ooh Girl (feat. A Boogie Wit da Hoodie),2019-08-30,71
